id,text_type,text
35,script,"Noise-Canceling Headphones : ""Block out noise, block out drama. 🎧 SilentBeats Pro—because sometimes, the world is just too loud. (Yes, that includes your chatty neighbor.)"""
36,caption,"Instant Coffee Brand: ""Mornings are rough. ☕ But at least your coffee doesn’t have to be. Wake up with BrewBoost! #CoffeeFirst"""
37,caption,"Fast Food Delivery Service: ""Too lazy to cook? 🍕 We get it. Order now, and let FastFeast handle dinner. #ZeroEffortMeals"""
38,caption,"Sunscreen Brand: ""SPF isn’t optional unless you want to look like a sun-dried tomato. 🍅 Protect your glow with SunSafe 50+! #BlockTheBurn"""
39,caption,"Laundry Detergent: ""Your clothes deserve better. 🧼 Stop making them suffer with cheap detergent. FreshWash—because fashion starts in the washing machine! #CleanIsClassy"""
40,caption,"WiFi Router Brand: ""Weak WiFi? 🚨 Time to upgrade. SpeedLink 5G—so fast, your cat videos load before you even blink! #NoMoreBuffering"""
41,script,"Instant Coffee Brand : ""Mornings are hard. Your coffee shouldn’t be. ☕ Introducing BrewBoost—instant energy, zero effort. No more waiting, no more bitter regrets. Just add water, stir, and boom! ☄️ You’re awake, alert, and ready to pretend like you have your life together. Whether it's a Monday morning or a 'why-am-I-even-awake' kinda day—BrewBoost has your back! One sip, and suddenly, life makes sense again. #StayCaffeinated"""
42,script,"Fast Food Delivery Service 🍕 : ""Cooking? Too much work. Grocery shopping? Forget about it. 😴 When hunger hits, FastFeast delivers—literally! 🍕 Burgers, sushi, tacos—whatever your cravings, we bring it hot and fast, straight to your door. No more sad instant noodles. No more ‘guess I’ll eat cereal again’ moments. Tap. Order. Feast. Because your stomach deserves better than your cooking skills. Download FastFeast now and let us do the hard work—you just chew!"""
43,script,"Sunscreen Brand 🌞 : ""Think sunscreen is optional? Tell that to your future wrinkles! 🌞 Meet SunSafe 50+—the only thing standing between you and looking like a toasted marshmallow. Blocks UV rays, keeps your skin glowing, and won’t leave you feeling like a greasy potato. 🥔 Waterproof, sweatproof, and dermatologist-approved, so you can soak up the sun without soaking up regret. Because SPF isn’t just skincare—it’s self-care. Protect now, thank yourself later!"""
44,script,"Laundry Detergent 🧼 : ""Your clothes work hard. Give them the spa treatment they deserve! 🧼 Say goodbye to stains, dull colors, and that ‘mystery smell’ you pretend not to notice. FreshWash Ultra deep cleans, protects colors, and leaves your clothes smelling fresher than a mountain breeze. 🌿 No more scrubbing, no more guesswork—just clean, soft, and ready-to-go outfits. Because looking good starts in the laundry room. FreshWash—dirty clothes’ worst nightmare!"
45,script," WiFi Router Brand 📶 : ""Buffering? In 2025? 🚨 Nope, not on our watch. Meet SpeedLink 5G, the WiFi router that actually does its job! 🚀 Lightning-fast speeds, zero interruptions, and coverage so strong, your neighbors might ‘accidentally’ connect (not that we recommend it). Perfect for streaming, gaming, or pretending to work on Zoom calls. No more dropped signals, no more WiFi rage—just pure, uninterrupted speed. Upgrade today and experience the Internet as it was meant to be!"""
46,script,"Running Shoes 👟 : ""Still running in shoes from the dinosaur era? 🦖 No wonder you feel like a turtle on the track! 🐢 Step up your game with SwiftKicks 3000—ultra-lightweight, shock-absorbing, and designed for speed. Whether you're chasing a new personal best or just chasing your bus, these shoes will have you moving like a pro. No magic, no shortcuts—just pure, unstoppable speed. Ready, set… GO!"""
47,script,"Energy Drink ⚡ : ""Ever feel like your battery hits 1% before noon? 🔋 Time to recharge with ZapFuel! One sip, and BOOM—you’re wide awake, laser-focused, and ready to conquer the day. 🚀 No jitters, no crash, just pure, smooth energy that keeps you going. Whether it’s a work deadline, a gym session, or just surviving Mondays, ZapFuel’s got your back! Warning: May cause extreme productivity and random dance moves."""
48,script,"Dating App ❤️ : ""Swiping left on boring convos? Ghosted more times than a haunted house? 👻 Say hello to LoveLink—the dating app that actually works! No bots, no awkward ‘hey’ texts—just real connections with real people. Our AI-powered matching finds your perfect vibe, whether you’re into deep convos or just wanna share memes. Stop scrolling. Start dating. LoveLink—because romance deserves better than bad pick-up lines!"""
49,script,"Smart Toothbrush 🦷 : ""Brushing your teeth or just going through the motions? 🤔 Upgrade to BrushPro AI, the smart toothbrush that actually teaches you how to brush like a pro! 🚀 Real-time feedback, built-in timers, and sensors that tell you when you're slacking. No more dentist lectures, no more rushed brushing—just a cleaner, healthier smile in 2 minutes flat. Brush smarter, not harder!"""
50,script,"Noise-Canceling Headphones 🎧 : ""Life’s noisy. Your music shouldn’t be. 🎧 Block out distractions and tune into pure sound with SilentBeats Pro—next-level noise-canceling that drowns out the chaos so you can focus, relax, or vibe out. Crisp audio, deep bass, zero distractions. Perfect for work, travel, or ignoring that one chatty co-worker. Upgrade your listening—because silence is golden, but your playlist is even better!""

"
51,caption,"Fitness App 🏋️‍♂️💪 : ""Sweat now, shine later. Your personal trainer is now in your pocket! 📲🔥 #NoExcuses #TrainSmart"""
52,caption," Organic Skincare Brand 🌿✨ : ""Glow naturally, because your skin deserves the best. 🌱💖 #PureBeauty #NoFiltersNeeded"""
53,caption,"AI-Powered Writing Tool ✍️🤖 : ""Writer’s block? Not anymore! Let AI turn your ideas into masterpieces. 📝✨ #WriteSmarter #AIForCreatives"""
54,caption,"Wireless Earbuds 🎧🎶 : ""Zero wires, pure sound. Unplug, unwind, and vibe like never before! 🔥🎵 #NoStringsAttached #SoundRevolution"""
55,caption," Luxury Coffee Brand ☕🌟 : ""Ordinary coffee? Not in our cup. ☕ Elevate your mornings with every sip. #BrewLikeABoss #LuxuryInEveryDrop"""
56,script,"Luxury Car Ad 🚗💎: ""Some cars take you places. This one takes you beyond. ✨ Meet the Velar X9, where cutting-edge technology meets pure elegance. Feel the power of 650 horsepower, the comfort of handcrafted leather, and the thrill of precision engineering. More than a ride, it’s an experience. Because luxury isn’t about arriving—it’s about how you get there. Velar X9. Drive the difference."""
57,script," Chocolate Brand 🍫😍: ""Some moments deserve more than just a snack—they deserve an indulgence. 🍫 Meet ChocoLuxe—crafted with the finest cocoa, a touch of magic, and pure happiness in every bite. Silky, smooth, and dangerously addictive. Because why settle for ordinary when you can have extraordinary? Treat yourself—you deserve it. ChocoLuxe. One bite, endless pleasure."""
58,script,"Online Dating App ❤️📲: ""Still swiping through the same ‘Hey’ and ‘U up?’ texts? 🚩 Time to upgrade to HeartSync—the dating app that actually gets you. Our AI-powered matching finds your perfect vibe, whether you’re looking for deep conversations or just someone who also hates pineapple on pizza. 🍕❌ No bots. No weird messages. Just real connections. Love is just a click away. HeartSync—because your soulmate isn’t in your DMs… yet."""
59,script,"Home Gym Equipment 🏋️‍♂️🔥: ""Gym too far? Too crowded? Too expensive? Excuses, meet your match. 🚀 Bring the IronCore Home Gym into your space and transform your workouts. Strength training, cardio, and mobility—all in one compact, pro-level setup. No waiting for machines, no membership fees, just results on your schedule. Train smarter. Get stronger. Own your fitness. IronCore—your gym, your rules."""
60,script," Adventure Gear Brand ⛰️🎒: ""Adventure doesn’t wait. Neither should you. ⛰️ StormTrek Gear is built for those who chase summits, sunrises, and stories. 🏕️ Waterproof. Ultra-durable. Designed to go wherever you dare. From the highest peaks to the wildest trails, we’ve got your back. Pack light, dream big, and conquer the unknown. StormTrek—gear up for greatness."""
61,script,"Protein Powder Brand 💪🥤: ""Muscles don’t grow on wishes—they grow on fuel. 💪 Meet ProMax Whey, packed with 25g of pure protein, zero added sugar, and amino acids for faster recovery. Whether you’re lifting heavy, running fast, or just chasing gains, this shake has your back. Tastes like a treat, works like a beast. 🥤 Because strength starts with the right nutrition. ProMax Whey—fuel your grind."""
62,script," Fitness Supplements ⚡🔥 : ""Energy running low? 🚨 Time to level up with XtremeFuel—your ultimate pre-workout boost. Packed with caffeine, BCAAs, and electrolytes, it gives you that unstoppable power to lift heavier, run faster, and push harder. No crashes, no jitters—just pure, focused intensity. Ready to train like a beast? 🦁 XtremeFuel—because limits are meant to be broken.""

"
63,script,"Luxury Watch Ad ⌚✨ : ""Time isn’t just measured—it’s crafted. ⌚ Introducing The Royale Chrono X, where precision meets prestige. Swiss engineering, hand-finished details, and timeless elegance in every second. Whether you're closing a deal or chasing a sunset, this watch is more than an accessory—it’s a statement. Because true luxury never goes out of style. The Royale—wear your success.""

"
64,script,"Tech Startup Promotion 🚀📲 : ""Big ideas need big solutions. 💡 At NextGen Tech, we’re building AI-powered, user-friendly, and game-changing innovations that redefine industries. Whether it’s automating workflows, boosting efficiency, or revolutionizing your business, we turn your tech challenges into opportunities. 🚀 Smart solutions, built for the future. NextGen Tech—innovation starts here."""
65,script,"Fast Food Chain Ad 🍔🔥 : ""Hungry? Don’t just eat—feast. 🍔🔥 Our new MegaCheese Xtreme is stacked with juicy patties, melting cheese, and crispy perfection. Made fresh, served fast, and guaranteed to satisfy those cravings. Because life’s too short for boring food. Bite into happiness today. MegaCheese Xtreme—your hunger, our masterpiece."""
66,caption," Luxury Travel Campaign ✈️🌍: ""First-class flights. Five-star stays. Experiences beyond imagination. ✨ Where will your next escape take you? 🌍 #TravelLikeRoyalty #LuxuryUnleashed""

"
67,,"AI-Powered Resume Builder 📄🤖: ""Your dream job is one click away. 🚀 Let AI craft the perfect resume that gets you hired. 🎯 #StandOut #FutureOfResumes""

"
68,," Cybersecurity Software for Startups 🔐🛡️: ""Hackers don’t take breaks—neither do we. 🛑 Protect your startup with enterprise-grade security. 🚀 #StaySecure #CyberShield""

"
69,,"AI-Powered Code Debugger 💻⚡: ""Bugs? Fixed. Errors? Gone. Debugging has never been this easy. 🔥 Let AI handle the messy part while you build greatness! 💡 #CodeSmarter #NoMoreBugs"""
70,," AI Meeting Summarizer 📢✍️: ""Missed the meeting? No problem. 📋 AI-generated summaries so precise, it’s like you were there. 🔍 #MeetSmart #NoMoreNotes"""
71,,"Protein Powder Brand 💪🥤 : ""Stronger every sip. 💥 25g protein, zero excuses. 🏋️‍♂️ #FuelYourGains #StrongerWithEveryScoop""

"
72,,"Fitness Supplements ⚡🔥 : ""Train harder. Recover faster. Perform like never before. 🚀 #PowerUp #GameChanger"""
73,," Luxury Watch Ad ⌚✨ : ""Time isn’t just money—it’s prestige. Wear the legacy. 🕰️ #TimelessElegance #LuxuryRedefined"""
74,,"Tech Startup Promotion 🚀📲 : ""Big ideas, bold innovations. The future starts here. 💡🔥 #TechRevolution #BuiltForTomorrow""

"
75,,"Fast Food Chain Ad 🍔🔥 : ""Crispy. Juicy. Irresistible. Your cravings just met their match. 🍟🍔 #BiteIntoHappiness #TooGoodToShare""

"
